2018-02-16,20.860602781176567,19.6
2018-02-17,19.275031781941653,20.4
2018-02-18,19.822983074188233,20.4
2018-02-20,19.861604841649534,20.4
2018-02-21,18.94818303634723,19.3
2018-02-22,19.331989308446648,19.8
2018-02-23,19.36280046254397,19.8
2018-02-24,22.963599106127564,23.75
2018-02-25,22.589690825343133,23.4
2018-02-26,22.681481467187403,23.4
2018-02-27,22.72403970360756,23.4
2018-02-28,22.056564603745937,22.7
2018-03-01,22.103072069585323,20.75
2018-03-03,20.317394185066224,20.35
2018-03-04,19.862373957037928,20.35
2018-03-05,19.84107269011438,20.35
2018-03-06,19.85918086543679,20.1
2018-03-07,19.584676784276965,20.1
2018-03-08,18.96421942859888,19.3
2018-03-09,18.88602035790682,19.35
2018-03-10,18.937572757899762,19.35
2018-03-11,18.8482264585793,19.2
2018-03-12,18.84345337705953,19.2
2018-03-13,18.852899819612507,19.2
2018-03-14,18.531130173802378,18.8
2018-03-15,18.522527928650383,18.7
2018-03-16,18.444758735597134,18.7
2018-03-17,18.3025151103735,18.55
2018-03-18,18.347043724358084,18.55
2018-03-19,18.278092275559903,18.55
2018-03-20,18.30976701937616,18.55
2018-03-21,17.99515163563192,18.1
2018-03-22,17.527360328100624,17.6
2018-03-23,17.630093835107985,17.6
2018-03-24,17.605974372010678,17.5
2018-03-25,17.604121220670642,17.5
2018-03-26,17.603954212367537,17.5
2018-03-27,17.55745803974569,17.5
2018-03-28,17.91928735099733,18.05
2018-03-29,18.10624301657081,18.25
2018-03-30,18.43471719175577,18.7
2018-03-31,18.116514907032254,18.25
2018-04-01,17.688625636138024,17.65
2018-04-02,17.70415001520887,17.65
2018-04-04,17.554313535243278,17.5
2018-04-05,17.57720512356609,17.2
2018-04-06,17.450092212483288,17.45
2018-04-07,17.568533657118678,17.45
2018-04-08,17.442936661764982,17.25
2018-04-09,17.450589009001853,17.55
2018-04-10,17.361027832143012,17.55
2018-04-11,17.61619929932058,17.55
2018-04-12,17.336153338663284,17.1
2018-04-13,17.69676701646298,17.7
2018-04-14,17.71267771199346,17.7
2018-04-15,17.671071012318137,17.7
2018-04-16,17.70322696538642,17.7
2018-04-17,17.706177370995285,18.1
2018-04-18,17.97829548418522,18.1
2018-04-19,17.886943071708085,18.05
2018-04-20,17.97083445981145,18.05
2018-04-21,18.337142587602138,18.55
2018-04-22,18.29127366654575,18.5
2018-04-23,18.31080205589533,18.5
2018-04-24,18.28979803696275,18.5
2018-04-25,18.719851499795915,19.05
2018-04-26,18.51728901628937,18.8
2018-04-27,18.460220638662577,18.7
2018-04-28,18.844683679938317,19.25
2018-04-29,18.946444919705392,19.35
